original_name, wikipedia_title
Queen's Pawn Opening: Veresov; Richter Attack, Queen's Pawn Game
Saragossa Opening, Saragossa Opening
Latvian Gambit Accepted, Latvian Gambit
Tarrasch Defence: Two Knights Variation, Tarrasch Defense
Nimzo-Indian Defence: Three Knights Variation, Nimzo-Indian Defence
French Defence: Knight Variation, French Defence
Slav Defence: Alekhine Variation, Slav Defense
Old Benoni Defence #2, Benoni Defense
Benoni Defence, Benoni Defense
Zukertort Opening: Sicilian Invitation, Zukertort Opening
Ruy Lopez: Steinitz Defence, Ruy Lopez
French Defence: La Bourdonnais Variation, French Defence
Russian Game: Damiano Variation, Petrov's Defence
French Defence: Normal Variation, French Defence
Zukertort Opening: Sicilian Invitation, Zukertort Opening
French Defence: Winawer Variation; Winckelmann-Riemer Gambit, French Defence
Zukertort Opening: Sicilian Invitation, Zukertort Opening
Zukertort Opening: Black Mustang Defence, Zukertort Opening
Reti Opening: Reti Accepted, Réti Opening
French Defence: Advance Variation #3, French Defence
Ruy Lopez: Nuernberg Variation, Ruy Lopez
Queen's Gambit declined: Marshall Defence, Queen's Gambit Declined
French Defence: Advance Variation; Nimzowitsch System, French Defence
Nimzo-Indian Defence: Normal Variation, Nimzo-Indian Defence
French Defence: Knight Variation, French Defence
Reti Opening: Reti Accepted, Réti Opening
Ruy Lopez: Steinitz Defence, Ruy Lopez
Ruy Lopez: Marshall Attack; Steiner Variation, Ruy Lopez
King's Gambit Accepted; Stamma Gambit, King's Gambit
Danish Gambit, Danish Gambit
Queen's Gambit declined: Chigorin Defence; Janowski Variation, Queen's Gambit Declined
French Defence: Exchange Variation, French Defence
Center Game: Normal Variation, Center Game
Englund Gambit Complex: Soller Gambit, Englund Gambit
Queen's Gambit declined: Chigorin Defence; Janowski Variation, Queen's Gambit Declined
Zukertort Opening: Queen's Gambit Invitation, Zukertort Opening
Queen's Gambit declined: Chigorin Defence; Janowski Variation, Queen's Gambit Declined
French Defence: Advance Variation, French Defence
French Defence: Advance Variation #2, French Defence
French Defence: Advance Variation; Main Line, French Defence
Philidor Defence: Morphy Gambit, Philidor Defence
Zukertort Opening: Reversed Mexican Defence, Zukertort Opening
Ruy Lopez, Ruy Lopez
Slav Defence: Two Knights Attack, Slav Defense
King's Gambit Declined; Keene Defence, King's Gambit
French Defence: Queen's Knight, French Defence
Gruenfeld Defence: Exchange Variation, Grünfeld Defence
Zukertort Opening: Tennison Gambit, Zukertort Opening
French Defence: Steiner Variation, French Defence
Queen's Gambit declined: Chigorin Defence; Janowski Variation, Queen's Gambit Declined
French Defence: Advance Variation; Nimzowitsch System, French Defence
Polish Opening, Sokolsky Opening
French Defence: Knight Variation, French Defence
Catalan Opening: Open Defence, Catalan Opening
King's Gambit Accepted; Bishop's Gambit; Bogoljubov Variation, Queen's Gambit Accepted
French Defence: Advance Variation, French Defence
Philidor Defence: Exchange Variation, Philidor Defence
King's Knight Opening: Normal Variation, King's Knight Opening
Ware Defence, Were
Latvian Gambit: Greco Variation, Latvian Gambit
Reti Opening: Advance Variation, Réti Opening
Budapest Defence: Adler Variation, Budapest Gambit
King's Gambit Accepted: Modern Defence #2, King's Gambit
Queen's Gambit, Queen (band)
French Defence: Knight Variation, French Defence
Catalan Opening: Closed Variation, Catalan Opening
Nimzo-Indian Defence: Normal Variation; Ragozin Variation, Nimzo-Indian Defence
Queen's Gambit declined: Marshall Defence, Queen's Gambit Declined
Queen's Gambit declined: Albin Countergambit; Fianchetto Variation, Queen's Gambit Declined
Rat Defence: English Rat, Rat Defense, English Rat
French Defence: La Bourdonnais Variation, French Defence
Center Game: Normal Variation, Center Game
Center Game: Normal Variation, Center Game
Latvian Gambit, Latvian Gambit
Center Game: Normal Variation, Center Game
French Defence: Advance Variation; Nimzowitsch System, French Defence
Zukertort Opening: Tennison Gambit, Zukertort Opening
King's Gambit Accepted; Fischer Defence, King's Gambit
King's Gambit Accepted; Bishop's Gambit, Queen's Gambit Accepted
Philidor Defence: Hanham Variation, Philidor Defence
French Defence: Classical Variation; Steinitz Variation, French Defence
French Defence: Tarrasch Variation; Closed Variation; Main Line, French Defence
Ponziani Opening, Ponziani Opening
Rat Defence: Small Center Defence, Rat Defense, English Rat
French Defence: King's Indian Attack, French Defence
Paleface Attack, Indian Defence
Queen's Gambit declined: Marshall Defence, Queen's Gambit Declined
French Defence: Advance Variation; Paulsen Attack, French Defence
Russian Game: Urusov Gambit, Petrov's Defence
Polish Defence, Police
Philidor Defence, Philidor Defence
Zukertort Opening: Tennison Gambit, Zukertort Opening
King's Knight Opening, King's Knight Opening
French Defence: Knight Variation, French Defence
Center Game, Center Game
Blackmar-Diemer Gambit, Blackmar–Diemer Gambit
Sicilian Defence #2, Sicilian Defence
French Defence: Knight Variation, French Defence
Queen's Gambit declined: Marshall Defence, Queen's Gambit Declined
French Defence: Advance Variation #2, French Defence
French Defence: Two Knights Variation, French Defence
French Defence: La Bourdonnais Variation, French Defence
King's Gambit Declined: Keene's Defence #2, King's Gambit
Queen's Gambit declined: Marshall Defence, Queen's Gambit Declined
Queen's Gambit declined: Chigorin Defence; Exchange Variation, Queen's Gambit Declined
Hippopotamus Defence #2, Hippopotamus Defence
Queen's Gambit declined: Chigorin Defence #3, Queen's Gambit Declined
French Defence: Queen's Knight, French Defence
Danish Gambit Accepted; Chigorin Defence, Danish Gambit
French Defence: Winawer Variation; Advance Variation #3, French Defence
Rat Defence: Harmonist, Rat Defense, English Rat
King's Gambit Declined: Classical; Soldatenkov Variation, King's Gambit
Petrov's Defence #2, Petrov's Defence
French Defence: La Bourdonnais Variation, French Defence
Queen's Gambit declined: Chigorin Defence, Queen's Gambit Declined
French Defence: Queen's Knight, French Defence
Slav Defence: Quiet Variation, Slav Defense
Pirc Defence, Pirc Defence
Goldsmith Defence, Goldsmith
French Defence: Knight Variation, French Defence
Englund Gambit Complex: Hartlaub-Charlick Gambit, Englund Gambit
French Defence: La Bourdonnais Variation, French Defence
Colle System, Colle System
French Defence: Mediterranean Defence, French Defence
Russian Game: Urusov Gambit, Petrov's Defence
King's Gambit; Falkbeer Countergambit Accepted, King's Gambit, Falkbeer Countergambit
Ware Opening, Ware Opening
Zukertort Opening: Pirc Invitation, Zukertort Opening
French Defence: Advance Variation; Nimzowitsch System, French Defence
French Defence: Advance Variation, French Defence
Rat Defence: Harmonist, Rat Defense, English Rat
French Defence: Advance Variation #3, French Defence
